Compound_Name,CAS_Number,OECD_442C_DPRA_Depletion_%,OECD_442C_Status,OECD_442D_ARE_Nrf2_Fold,OECD_442E_hCLAT_MFI,InVivo_LLNA_EC3_%
Compound_0103,CAS-100309-3,61.0,Positive (>6.38%),6.93,264.9,4.14
Compound_0104,CAS-100312-4,50.8,Positive (>6.38%),0.8,42.6,0.03
Compound_0105,CAS-100315-5,65.0,Positive (>6.38%),2.47,125.3,2.8
Compound_0106,CAS-100318-6,77.4,Positive (>6.38%),7.82,47.9,2.62
Compound_0107,CAS-100321-7,99.9,Positive (>6.38%),1.57,94.8,0.6
Compound_0108,CAS-100324-8,72.3,Positive (>6.38%),5.66,272.6,5.64
Compound_0109,CAS-100327-9,74.2,Positive (>6.38%),0.8,265.5,6.05
Compound_0110,CAS-100330-0,66.9,Positive (>6.38%),8.77,46.6,6.38
Compound_0111,CAS-100333-1,26.3,Positive (>6.38%),4.45,459.7,6.52
Compound_0112,CAS-100336-2,67.9,Positive (>6.38%),9.07,161.6,0.01
Compound_0113,CAS-100339-3,69.8,Positive (>6.38%),3.61,86.0,15.39
Compound_0114,CAS-100342-4,99.9,Positive (>6.38%),1.45,125.5,8.42
Compound_0115,CAS-100345-5,64.3,Positive (>6.38%),8.91,167.2,11.72
Compound_0116,CAS-100348-6,75.1,Positive (>6.38%),1.03,147.7,0.08
Compound_0117,CAS-100351-7,67.7,Positive (>6.38%),1.29,119.9,13.58
Compound_0118,CAS-100354-8,42.8,Positive (>6.38%),3.86,126.6,8.3
Compound_0119,CAS-100357-9,93.6,Positive (>6.38%),4.64,34.9,9.08
Compound_0120,CAS-100360-0,85.0,Positive (>6.38%),8.48,301.5,0.49
Compound_0121,CAS-100363-1,85.9,Positive (>6.38%),0.8,140.5,6.71
Compound_0122,CAS-100366-2,48.5,Positive (>6.38%),5.12,25.3,16.08
Compound_0123,CAS-100369-3,99.4,Positive (>6.38%),4.29,261.6,5.67
Compound_0124,CAS-100372-4,37.7,Positive (>6.38%),0.8,485.1,4.23
Compound_0125,CAS-100375-5,81.4,Positive (>6.38%),1.57,529.8,14.56
Compound_0126,CAS-100378-6,99.9,Positive (>6.38%),1.06,82.9,2.93
Compound_0127,CAS-100381-7,46.7,Positive (>6.38%),1.16,26.2,4.57
Compound_0128,CAS-100384-8,56.0,Positive (>6.38%),13.03,131.5,3.23
Compound_0129,CAS-100387-9,70.7,Positive (>6.38%),3.29,21.5,13.5
Compound_0130,CAS-100390-0,57.4,Positive (>6.38%),4.05,489.2,0.4
Compound_0131,CAS-100393-1,34.4,Positive (>6.38%),12.02,36.5,3.48
Compound_0132,CAS-100396-2,70.0,Positive (>6.38%),1.52,52.4,5.81
Compound_0133,CAS-100399-3,45.1,Positive (>6.38%),5.18,94.0,7.85
Compound_0134,CAS-100402-4,78.9,Positive (>6.38%),1.82,87.0,4.37
Compound_0135,CAS-100405-5,48.3,Positive (>6.38%),6.52,285.0,11.98
Compound_0136,CAS-100408-6,99.9,Positive (>6.38%),0.8,109.7,14.24
Compound_0137,CAS-100411-7,51.3,Positive (>6.38%),9.44,33.7,0.33
Compound_0138,CAS-100414-8,61.4,Positive (>6.38%),0.8,56.0,2.57
Compound_0139,CAS-100417-9,86.4,Positive (>6.38%),1.26,128.1,0.12
Compound_0140,CAS-100420-0,41.4,Positive (>6.38%),4.52,28.7,2.0
Compound_0141,CAS-100423-1,73.5,Positive (>6.38%),1.6,170.3,3.85
Compound_0142,CAS-100426-2,97.3,Positive (>6.38%),3.0,150.1,12.08
Compound_0143,CAS-100429-3,33.1,Positive (>6.38%),1.88,225.8,9.37
Compound_0144,CAS-100432-4,72.6,Positive (>6.38%),4.34,499.7,0.68
Compound_0145,CAS-100435-5,74.2,Positive (>6.38%),0.83,438.0,0.49
Compound_0146,CAS-100438-6,85.7,Positive (>6.38%),0.8,525.6,4.45
Compound_0147,CAS-100441-7,41.3,Positive (>6.38%),1.14,50.5,3.8
Compound_0148,CAS-100444-8,39.4,Positive (>6.38%),2.06,25.4,1.55
Compound_0149,CAS-100447-9,80.0,Positive (>6.38%),0.8,64.8,11.49
Compound_0150,CAS-100450-0,75.0,Positive (>6.38%),1.4,405.8,13.11
Compound_0151,CAS-100453-1,74.0,Positive (>6.38%),1.63,643.9,2.58
Compound_0152,CAS-100456-2,76.1,Positive (>6.38%),0.8,353.0,11.05
Compound_0153,CAS-100459-3,53.5,Positive (>6.38%),2.8,21.0,2.42
Compound_0154,CAS-100462-4,73.6,Positive (>6.38%),6.9,530.2,6.67
Compound_0155,CAS-100465-5,74.9,Positive (>6.38%),0.8,99.1,3.23
Compound_0156,CAS-100468-6,52.8,Positive (>6.38%),2.91,20.0,0.65
Compound_0157,CAS-100471-7,99.9,Positive (>6.38%),3.5,105.1,13.15
Compound_0158,CAS-100474-8,78.9,Positive (>6.38%),1.74,20.0,3.03
Compound_0159,CAS-100477-9,42.3,Positive (>6.38%),3.86,141.3,6.63
Compound_0160,CAS-100480-0,82.9,Positive (>6.38%),1.69,74.4,2.29
Compound_0161,CAS-100483-1,47.1,Positive (>6.38%),2.25,115.4,0.1
Compound_0162,CAS-100486-2,85.8,Positive (>6.38%),0.8,171.0,0.53
Compound_0163,CAS-100489-3,94.0,Positive (>6.38%),3.77,365.6,3.43
Compound_0164,CAS-100492-4,50.4,Positive (>6.38%),3.46,195.2,5.86
Compound_0165,CAS-100495-5,89.7,Positive (>6.38%),0.8,102.5,2.04
Compound_0166,CAS-100498-6,77.6,Positive (>6.38%),1.47,308.1,5.95
Compound_0167,CAS-100501-7,86.6,Positive (>6.38%),12.37,424.8,6.0
Compound_0168,CAS-100504-8,99.9,Positive (>6.38%),1.75,23.0,6.09
Compound_0169,CAS-100507-9,63.1,Positive (>6.38%),2.23,136.6,3.39
Compound_0170,CAS-100510-0,51.9,Positive (>6.38%),7.7,60.3,12.32
Compound_0171,CAS-100513-1,48.9,Positive (>6.38%),4.04,20.0,3.36
Compound_0172,CAS-100516-2,50.6,Positive (>6.38%),2.79,198.8,2.99
Compound_0173,CAS-100519-3,66.8,Positive (>6.38%),5.12,357.5,1.11
Compound_0174,CAS-100522-4,76.0,Positive (>6.38%),6.39,32.0,1.84
Compound_0175,CAS-100525-5,74.6,Positive (>6.38%),1.95,301.2,0.22
Compound_0176,CAS-100528-6,86.7,Positive (>6.38%),2.06,345.6,5.02
Compound_0177,CAS-100531-7,68.8,Positive (>6.38%),1.56,442.3,1.43
Compound_0178,CAS-100534-8,99.9,Positive (>6.38%),10.89,55.5,1.81
Compound_0179,CAS-100537-9,62.7,Positive (>6.38%),3.82,421.7,7.37
Compound_0180,CAS-100540-0,99.9,Positive (>6.38%),0.8,69.6,1.98
Compound_0181,CAS-100543-1,82.3,Positive (>6.38%),6.36,144.7,1.39
Compound_0182,CAS-100546-2,49.6,Positive (>6.38%),2.1,20.0,0.93
Compound_0183,CAS-100549-3,44.9,Positive (>6.38%),0.8,20.0,7.46
Compound_0184,CAS-100552-4,79.1,Positive (>6.38%),2.55,229.4,0.69
Compound_0185,CAS-100555-5,63.6,Positive (>6.38%),1.73,105.8,3.02
Compound_0186,CAS-100558-6,84.2,Positive (>6.38%),6.73,53.3,3.54
Compound_0187,CAS-100561-7,78.9,Positive (>6.38%),0.8,38.0,5.81
Compound_0188,CAS-100564-8,66.9,Positive (>6.38%),5.6,199.5,5.02
Compound_0189,CAS-100567-9,49.9,Positive (>6.38%),2.61,20.0,8.32
Compound_0190,CAS-100570-0,35.2,Positive (>6.38%),0.8,295.1,0.23
Compound_0191,CAS-100573-1,58.7,Positive (>6.38%),11.42,20.0,1.76
Compound_0192,CAS-100576-2,87.3,Positive (>6.38%),2.3,38.3,1.64
Compound_0193,CAS-100579-3,73.2,Positive (>6.38%),1.1,87.9,0.79
Compound_0194,CAS-100582-4,41.1,Positive (>6.38%),2.03,119.4,1.71
Compound_0195,CAS-100585-5,72.3,Positive (>6.38%),6.24,78.9,1.85
Compound_0196,CAS-100588-6,77.0,Positive (>6.38%),1.16,69.6,3.69
Compound_0197,CAS-100591-7,49.1,Positive (>6.38%),0.8,597.9,5.45
Compound_0198,CAS-100594-8,71.9,Positive (>6.38%),0.8,184.7,2.4
Compound_0199,CAS-100597-9,69.8,Positive (>6.38%),1.13,20.0,6.36
Compound_0200,CAS-100600-0,43.4,Positive (>6.38%),4.85,101.2,2.05
Compound_0201,CAS-100603-1,76.4,Positive (>6.38%),2.04,374.3,1.71
Compound_0202,CAS-100606-2,80.8,Positive (>6.38%),0.83,64.6,3.9
Compound_0203,CAS-100609-3,92.3,Positive (>6.38%),0.8,20.0,0.12
Compound_0204,CAS-100612-4,91.7,Positive (>6.38%),1.29,255.7,0.42
Compound_0205,CAS-100615-5,38.2,Positive (>6.38%),9.0,167.7,2.71
Compound_0206,CAS-100618-6,47.9,Positive (>6.38%),1.34,152.0,14.32
Compound_0207,CAS-100621-7,79.8,Positive (>6.38%),14.19,20.0,6.39
Compound_0208,CAS-100624-8,79.8,Positive (>6.38%),2.12,27.3,0.46
Compound_0209,CAS-100627-9,79.8,Positive (>6.38%),0.8,175.4,9.36
Compound_0210,CAS-100630-0,99.9,Positive (>6.38%),7.1,41.9,6.59
Compound_0211,CAS-100633-1,81.1,Positive (>6.38%),1.97,126.2,4.72
Compound_0212,CAS-100636-2,93.5,Positive (>6.38%),3.96,141.7,8.58
Compound_0213,CAS-100639-3,89.5,Positive (>6.38%),13.18,60.0,2.59
Compound_0214,CAS-100642-4,82.8,Positive (>6.38%),0.8,533.6,1.25
Compound_0215,CAS-100645-5,61.6,Positive (>6.38%),0.8,332.7,3.59
Compound_0216,CAS-100648-6,85.2,Positive (>6.38%),4.08,230.7,3.98
Compound_0217,CAS-100651-7,51.5,Positive (>6.38%),1.06,20.0,3.86
Compound_0218,CAS-100654-8,63.3,Positive (>6.38%),0.8,20.2,4.16
Compound_0219,CAS-100657-9,57.8,Positive (>6.38%),0.8,122.2,14.85
Compound_0220,CAS-100660-0,70.3,Positive (>6.38%),0.8,31.5,11.63
Compound_0221,CAS-100663-1,99.9,Positive (>6.38%),4.77,689.2,10.43
Compound_0222,CAS-100666-2,27.4,Positive (>6.38%),0.8,31.1,8.08
Compound_0223,CAS-100669-3,83.6,Positive (>6.38%),2.02,120.3,14.36
Compound_0224,CAS-100672-4,33.0,Positive (>6.38%),2.98,81.5,0.52
Compound_0225,CAS-100675-5,58.1,Positive (>6.38%),1.79,183.6,1.54
Compound_0226,CAS-100678-6,92.5,Positive (>6.38%),0.8,24.9,3.42
Compound_0227,CAS-100681-7,69.9,Positive (>6.38%),4.9,101.3,9.37
Compound_0228,CAS-100684-8,44.8,Positive (>6.38%),0.8,57.8,3.52
Compound_0229,CAS-100687-9,52.8,Positive (>6.38%),4.59,393.7,6.89
Compound_0230,CAS-100690-0,83.5,Positive (>6.38%),7.16,20.0,0.75
Compound_0231,CAS-100693-1,52.4,Positive (>6.38%),1.81,441.0,1.45
Compound_0232,CAS-100696-2,73.3,Positive (>6.38%),2.45,322.2,6.58
Compound_0233,CAS-100699-3,69.5,Positive (>6.38%),2.07,63.6,0.9
Compound_0234,CAS-100702-4,54.2,Positive (>6.38%),1.58,280.3,2.16
Compound_0235,CAS-100705-5,99.9,Positive (>6.38%),6.99,20.0,1.54
Compound_0236,CAS-100708-6,82.4,Positive (>6.38%),7.18,613.3,2.15
Compound_0237,CAS-100711-7,23.9,Positive (>6.38%),1.31,134.6,6.16
Compound_0238,CAS-100714-8,72.6,Positive (>6.38%),3.06,65.0,2.29
Compound_0239,CAS-100717-9,53.9,Positive (>6.38%),8.37,81.1,4.05
Compound_0240,CAS-100720-0,87.3,Positive (>6.38%),10.47,20.0,0.53
Compound_0241,CAS-100723-1,51.1,Positive (>6.38%),2.28,817.6,8.17
Compound_0242,CAS-100726-2,66.0,Positive (>6.38%),1.93,20.0,2.31
Compound_0243,CAS-100729-3,79.6,Positive (>6.38%),1.05,191.5,5.23
Compound_0244,CAS-100732-4,87.5,Positive (>6.38%),10.21,105.2,6.46
Compound_0245,CAS-100735-5,42.1,Positive (>6.38%),0.8,535.4,1.18
Compound_0246,CAS-100738-6,61.1,Positive (>6.38%),2.77,50.8,10.8
Compound_0247,CAS-100741-7,58.1,Positive (>6.38%),1.06,136.7,4.79
Compound_0248,CAS-100744-8,54.1,Positive (>6.38%),1.05,118.5,2.8
Compound_0249,CAS-100747-9,99.9,Positive (>6.38%),1.66,218.4,1.01
Compound_0250,CAS-100750-0,77.4,Positive (>6.38%),15.5,20.0,14.26
Compound_0251,CAS-100753-1,40.8,Positive (>6.38%),0.8,38.8,7.03
Compound_0252,CAS-100756-2,88.7,Positive (>6.38%),2.76,43.5,1.17
Compound_0253,CAS-100759-3,99.9,Positive (>6.38%),0.8,241.2,2.06
Compound_0254,CAS-100762-4,91.2,Positive (>6.38%),0.8,37.7,8.3
Compound_0255,CAS-100765-5,35.1,Positive (>6.38%),1.85,153.4,5.95
Compound_0256,CAS-100768-6,57.8,Positive (>6.38%),2.29,43.6,7.26
Compound_0257,CAS-100771-7,96.4,Positive (>6.38%),0.96,356.0,2.91
Compound_0258,CAS-100774-8,52.9,Positive (>6.38%),1.22,513.1,6.3
Compound_0259,CAS-100777-9,78.3,Positive (>6.38%),0.8,131.6,2.44
Compound_0260,CAS-100780-0,85.5,Positive (>6.38%),1.16,78.2,1.19
Compound_0261,CAS-100783-1,48.1,Positive (>6.38%),10.87,48.0,5.01
Compound_0262,CAS-100786-2,67.2,Positive (>6.38%),9.26,20.0,18.65
Compound_0263,CAS-100789-3,2.5,Positive (>6.38%),1.3,56.3,1.86
Compound_0264,CAS-100792-4,46.0,Positive (>6.38%),2.71,191.2,3.09
Compound_0265,CAS-100795-5,62.9,Positive (>6.38%),7.69,137.3,5.6
Compound_0266,CAS-100798-6,41.0,Positive (>6.38%),0.8,519.0,3.9
Compound_0267,CAS-100801-7,99.9,Positive (>6.38%),5.33,90.8,9.27
Compound_0268,CAS-100804-8,37.0,Positive (>6.38%),9.48,213.1,7.17
Compound_0269,CAS-100807-9,58.8,Positive (>6.38%),0.8,121.0,0.3
Compound_0270,CAS-100810-0,71.4,Positive (>6.38%),0.8,129.4,32.26
Compound_0271,CAS-100813-1,99.9,Positive (>6.38%),10.36,56.1,6.98
Compound_0272,CAS-100816-2,36.9,Positive (>6.38%),2.47,109.2,9.97
Compound_0273,CAS-100819-3,94.1,Positive (>6.38%),0.8,114.5,5.27
Compound_0274,CAS-100822-4,68.7,Positive (>6.38%),0.95,220.7,9.7
Compound_0275,CAS-100825-5,46.9,Positive (>6.38%),1.91,508.3,0.6
Compound_0276,CAS-100828-6,78.7,Positive (>6.38%),3.78,71.9,2.14
Compound_0277,CAS-100831-7,72.9,Positive (>6.38%),4.23,20.0,10.45
Compound_0278,CAS-100834-8,55.3,Positive (>6.38%),15.5,123.4,1.13
Compound_0279,CAS-100837-9,70.0,Positive (>6.38%),1.08,141.5,0.41
Compound_0280,CAS-100840-0,60.0,Positive (>6.38%),2.47,33.2,7.76
Compound_0281,CAS-100843-1,71.0,Positive (>6.38%),2.44,257.2,9.02
Compound_0282,CAS-100846-2,83.1,Positive (>6.38%),1.66,755.1,0.89
Compound_0283,CAS-100849-3,99.9,Positive (>6.38%),0.8,524.6,9.63
Compound_0284,CAS-100852-4,41.3,Positive (>6.38%),12.14,39.5,5.8
Compound_0285,CAS-100855-5,99.9,Positive (>6.38%),6.14,374.8,3.67
Compound_0286,CAS-100858-6,25.6,Positive (>6.38%),2.21,219.4,8.87
Compound_0287,CAS-100861-7,65.2,Positive (>6.38%),2.96,108.9,2.72
Compound_0288,CAS-100864-8,81.4,Positive (>6.38%),0.83,140.0,1.08
Compound_0289,CAS-100867-9,74.7,Positive (>6.38%),2.51,341.0,1.68
Compound_0290,CAS-100870-0,54.8,Positive (>6.38%),3.8,117.8,3.52
Compound_0291,CAS-100873-1,63.9,Positive (>6.38%),2.32,84.1,3.79
Compound_0292,CAS-100876-2,57.7,Positive (>6.38%),14.83,122.4,8.19
Compound_0293,CAS-100879-3,55.5,Positive (>6.38%),3.02,155.8,7.84
Compound_0294,CAS-100882-4,87.2,Positive (>6.38%),1.48,37.7,4.35
Compound_0295,CAS-100885-5,76.4,Positive (>6.38%),4.73,416.1,7.59
Compound_0296,CAS-100888-6,53.3,Positive (>6.38%),0.8,201.9,1.06
Compound_0297,CAS-100891-7,88.3,Positive (>6.38%),1.55,180.6,0.26
Compound_0298,CAS-100894-8,75.3,Positive (>6.38%),1.36,20.0,10.34
Compound_0299,CAS-100897-9,86.4,Positive (>6.38%),1.81,166.8,0.39
Compound_0300,CAS-100900-0,82.4,Positive (>6.38%),4.87,23.2,1.42
Compound_0301,CAS-100903-1,50.3,Positive (>6.38%),2.12,20.0,5.94
Compound_0302,CAS-100906-2,56.2,Positive (>6.38%),5.06,134.9,2.63
Compound_0303,CAS-100909-3,84.9,Positive (>6.38%),2.75,92.8,10.45
Compound_0304,CAS-100912-4,81.9,Positive (>6.38%),1.34,160.0,1.77
Compound_0305,CAS-100915-5,68.0,Positive (>6.38%),5.31,20.0,0.06
Compound_0306,CAS-100918-6,71.1,Positive (>6.38%),0.87,101.5,1.79
Compound_0307,CAS-100921-7,96.6,Positive (>6.38%),0.81,34.6,4.31
Compound_0308,CAS-100924-8,55.5,Positive (>6.38%),2.25,783.1,2.36
Compound_0309,CAS-100927-9,80.5,Positive (>6.38%),0.97,148.2,3.83
Compound_0310,CAS-100930-0,64.1,Positive (>6.38%),0.8,209.3,10.46
Compound_0311,CAS-100933-1,63.7,Positive (>6.38%),3.34,70.9,12.18
Compound_0312,CAS-100936-2,92.7,Positive (>6.38%),2.29,20.0,1.55
Compound_0313,CAS-100939-3,86.7,Positive (>6.38%),1.89,670.4,3.1
Compound_0314,CAS-100942-4,86.4,Positive (>6.38%),10.91,60.7,3.98
Compound_0315,CAS-100945-5,97.2,Positive (>6.38%),2.71,99.2,14.89
Compound_0316,CAS-100948-6,69.0,Positive (>6.38%),6.37,188.9,32.92
Compound_0317,CAS-100951-7,83.5,Positive (>6.38%),0.8,20.0,1.34
Compound_0318,CAS-100954-8,61.7,Positive (>6.38%),2.69,299.2,6.49
Compound_0319,CAS-100957-9,75.6,Positive (>6.38%),6.48,138.4,2.37
Compound_0320,CAS-100960-0,65.6,Positive (>6.38%),2.8,58.7,0.04
Compound_0321,CAS-100963-1,70.6,Positive (>6.38%),4.05,20.0,0.05
Compound_0322,CAS-100966-2,81.6,Positive (>6.38%),1.49,31.9,3.09
Compound_0323,CAS-100969-3,50.5,Positive (>6.38%),0.8,405.7,3.35
Compound_0324,CAS-100972-4,99.9,Positive (>6.38%),1.96,208.5,0.11
Compound_0325,CAS-100975-5,46.4,Positive (>6.38%),1.61,51.8,5.81
Compound_0326,CAS-100978-6,41.8,Positive (>6.38%),6.46,20.0,1.74
Compound_0327,CAS-100981-7,94.0,Positive (>6.38%),0.9,211.2,4.1
Compound_0328,CAS-100984-8,85.9,Positive (>6.38%),10.89,152.9,1.79
