Compound_Name_CAS,SMILES_Structure,DPRA_Depletion_%,KeratinoSens_EC150_uM,Docking_DeltaG_kcal,Bayesian_Probability_%,Regulatory_Classification
Benchmark_Compound_0033 (CAS 200033-3),O=CC=CC1=CC=CC=C1,15.5,416.2,-6.97,60.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0034 (CAS 200034-4),O=CC=CC1=CC=CC=C1,90.7,626.2,-6.98,45.1,Non-Sensitizer
Benchmark_Compound_0035 (CAS 200035-5),O=CC=CC1=CC=CC=C1,92.1,191.6,-6.12,62.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0036 (CAS 200036-6),O=CC=CC1=CC=CC=C1,78.7,279.9,-3.11,12.7,Non-Sensitizer
Benchmark_Compound_0037 (CAS 200037-7),O=CC=CC1=CC=CC=C1,35.9,1024.9,-8.13,13.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0038 (CAS 200038-8),O=CC=CC1=CC=CC=C1,18.3,280.3,-5.65,21.2,Non-Sensitizer
Benchmark_Compound_0039 (CAS 200039-9),O=CC=CC1=CC=CC=C1,68.2,792.5,-7.51,53.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0040 (CAS 200040-0),O=CC=CC1=CC=CC=C1,47.4,1066.5,-3.16,25.1,Non-Sensitizer
Benchmark_Compound_0041 (CAS 200041-1),O=CC=CC1=CC=CC=C1,20.4,169.2,-7.88,31.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0042 (CAS 200042-2),O=CC=CC1=CC=CC=C1,52.1,855.3,-6.28,42.6,Non-Sensitizer
Benchmark_Compound_0043 (CAS 200043-3),O=CC=CC1=CC=CC=C1,12.9,392.3,-4.44,81.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0044 (CAS 200044-4),O=CC=CC1=CC=CC=C1,87.3,1444.8,-4.62,6.3,Non-Sensitizer
Benchmark_Compound_0045 (CAS 200045-5),O=CC=CC1=CC=CC=C1,32.0,730.5,-6.17,66.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0046 (CAS 200046-6),O=CC=CC1=CC=CC=C1,66.3,1210.9,-6.59,67.9,Non-Sensitizer
Benchmark_Compound_0047 (CAS 200047-7),O=CC=CC1=CC=CC=C1,36.5,829.8,-6.31,80.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0048 (CAS 200048-8),O=CC=CC1=CC=CC=C1,54.2,74.7,-7.05,92.7,Non-Sensitizer
Benchmark_Compound_0049 (CAS 200049-9),O=CC=CC1=CC=CC=C1,56.5,953.4,-7.37,6.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0050 (CAS 200050-0),O=CC=CC1=CC=CC=C1,25.7,1427.6,-5.84,19.5,Non-Sensitizer
Benchmark_Compound_0051 (CAS 200051-1),O=CC=CC1=CC=CC=C1,92.4,906.4,-7.02,88.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0052 (CAS 200052-2),O=CC=CC1=CC=CC=C1,75.9,1230.6,-6.92,48.1,Non-Sensitizer
Benchmark_Compound_0053 (CAS 200053-3),O=CC=CC1=CC=CC=C1,89.9,1327.5,-4.89,58.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0054 (CAS 200054-4),O=CC=CC1=CC=CC=C1,86.1,349.8,-3.17,67.3,Non-Sensitizer
Benchmark_Compound_0055 (CAS 200055-5),O=CC=CC1=CC=CC=C1,60.8,325.9,-5.18,68.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0056 (CAS 200056-6),O=CC=CC1=CC=CC=C1,88.4,920.4,-8.08,92.6,Non-Sensitizer
Benchmark_Compound_0057 (CAS 200057-7),O=CC=CC1=CC=CC=C1,17.5,622.4,-8.08,98.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0058 (CAS 200058-8),O=CC=CC1=CC=CC=C1,26.7,1261.4,-3.27,72.7,Non-Sensitizer
Benchmark_Compound_0059 (CAS 200059-9),O=CC=CC1=CC=CC=C1,13.8,1351.0,-6.86,32.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0060 (CAS 200060-0),O=CC=CC1=CC=CC=C1,37.7,536.6,-7.99,87.7,Non-Sensitizer
Benchmark_Compound_0061 (CAS 200061-1),O=CC=CC1=CC=CC=C1,43.0,362.9,-5.21,9.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0062 (CAS 200062-2),O=CC=CC1=CC=CC=C1,33.1,1173.0,-5.07,26.7,Non-Sensitizer
Benchmark_Compound_0063 (CAS 200063-3),O=CC=CC1=CC=CC=C1,80.4,419.5,-4.93,89.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0064 (CAS 200064-4),O=CC=CC1=CC=CC=C1,40.3,1235.7,-7.03,29.1,Non-Sensitizer
Benchmark_Compound_0065 (CAS 200065-5),O=CC=CC1=CC=CC=C1,33.9,641.4,-8.42,25.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0066 (CAS 200066-6),O=CC=CC1=CC=CC=C1,56.1,1004.6,-3.19,18.0,Non-Sensitizer
Benchmark_Compound_0067 (CAS 200067-7),O=CC=CC1=CC=CC=C1,22.0,152.3,-7.12,85.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0068 (CAS 200068-8),O=CC=CC1=CC=CC=C1,78.2,939.6,-4.78,52.0,Non-Sensitizer
Benchmark_Compound_0069 (CAS 200069-9),O=CC=CC1=CC=CC=C1,16.3,683.1,-4.61,68.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0070 (CAS 200070-0),O=CC=CC1=CC=CC=C1,93.9,884.0,-5.14,27.5,Non-Sensitizer
Benchmark_Compound_0071 (CAS 200071-1),O=CC=CC1=CC=CC=C1,75.6,260.3,-6.78,76.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0072 (CAS 200072-2),O=CC=CC1=CC=CC=C1,26.9,1107.9,-7.01,76.4,Non-Sensitizer
Benchmark_Compound_0073 (CAS 200073-3),O=CC=CC1=CC=CC=C1,10.5,1295.6,-5.21,34.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0074 (CAS 200074-4),O=CC=CC1=CC=CC=C1,79.3,332.9,-3.74,43.6,Non-Sensitizer
Benchmark_Compound_0075 (CAS 200075-5),O=CC=CC1=CC=CC=C1,70.1,152.6,-3.29,24.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0076 (CAS 200076-6),O=CC=CC1=CC=CC=C1,72.0,45.2,-7.92,96.8,Non-Sensitizer
Benchmark_Compound_0077 (CAS 200077-7),O=CC=CC1=CC=CC=C1,75.6,966.5,-7.65,65.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0078 (CAS 200078-8),O=CC=CC1=CC=CC=C1,16.3,914.6,-3.3,92.8,Non-Sensitizer
Benchmark_Compound_0079 (CAS 200079-9),O=CC=CC1=CC=CC=C1,40.5,824.6,-4.45,33.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0080 (CAS 200080-0),O=CC=CC1=CC=CC=C1,19.8,355.6,-3.64,78.5,Non-Sensitizer
Benchmark_Compound_0081 (CAS 200081-1),O=CC=CC1=CC=CC=C1,83.4,592.4,-7.39,77.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0082 (CAS 200082-2),O=CC=CC1=CC=CC=C1,63.0,895.8,-5.27,70.0,Non-Sensitizer
Benchmark_Compound_0083 (CAS 200083-3),O=CC=CC1=CC=CC=C1,38.1,750.2,-4.64,95.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0084 (CAS 200084-4),O=CC=CC1=CC=CC=C1,15.4,1481.8,-4.76,42.0,Non-Sensitizer
Benchmark_Compound_0085 (CAS 200085-5),O=CC=CC1=CC=CC=C1,36.4,213.3,-6.26,17.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0086 (CAS 200086-6),O=CC=CC1=CC=CC=C1,37.6,1045.8,-8.42,68.1,Non-Sensitizer
Benchmark_Compound_0087 (CAS 200087-7),O=CC=CC1=CC=CC=C1,72.0,612.4,-5.29,73.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0088 (CAS 200088-8),O=CC=CC1=CC=CC=C1,64.2,648.0,-7.11,59.1,Non-Sensitizer
Benchmark_Compound_0089 (CAS 200089-9),O=CC=CC1=CC=CC=C1,85.4,1079.2,-6.02,24.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0090 (CAS 200090-0),O=CC=CC1=CC=CC=C1,50.1,1041.7,-3.23,52.4,Non-Sensitizer
Benchmark_Compound_0091 (CAS 200091-1),O=CC=CC1=CC=CC=C1,20.2,1487.0,-6.31,34.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0092 (CAS 200092-2),O=CC=CC1=CC=CC=C1,70.6,201.3,-3.88,45.2,Non-Sensitizer
Benchmark_Compound_0093 (CAS 200093-3),O=CC=CC1=CC=CC=C1,74.7,165.1,-7.46,65.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0094 (CAS 200094-4),O=CC=CC1=CC=CC=C1,57.7,1089.3,-4.8,75.1,Non-Sensitizer
Benchmark_Compound_0095 (CAS 200095-5),O=CC=CC1=CC=CC=C1,75.5,871.8,-3.13,26.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0096 (CAS 200096-6),O=CC=CC1=CC=CC=C1,52.0,418.5,-7.94,43.1,Non-Sensitizer
Benchmark_Compound_0097 (CAS 200097-7),O=CC=CC1=CC=CC=C1,54.4,128.3,-8.45,30.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0098 (CAS 200098-8),O=CC=CC1=CC=CC=C1,46.3,137.6,-6.12,23.7,Non-Sensitizer
Benchmark_Compound_0099 (CAS 200099-9),O=CC=CC1=CC=CC=C1,12.2,1342.3,-7.99,78.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0100 (CAS 200100-0),O=CC=CC1=CC=CC=C1,19.2,295.9,-4.38,90.5,Non-Sensitizer
Benchmark_Compound_0101 (CAS 200101-1),O=CC=CC1=CC=CC=C1,12.7,491.8,-3.47,39.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0102 (CAS 200102-2),O=CC=CC1=CC=CC=C1,64.1,347.7,-6.11,75.6,Non-Sensitizer
Benchmark_Compound_0103 (CAS 200103-3),O=CC=CC1=CC=CC=C1,36.7,538.9,-7.08,89.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0104 (CAS 200104-4),O=CC=CC1=CC=CC=C1,53.2,113.4,-6.11,84.5,Non-Sensitizer
Benchmark_Compound_0105 (CAS 200105-5),O=CC=CC1=CC=CC=C1,87.1,783.4,-4.52,22.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0106 (CAS 200106-6),O=CC=CC1=CC=CC=C1,31.2,110.7,-8.45,94.9,Non-Sensitizer
Benchmark_Compound_0107 (CAS 200107-7),O=CC=CC1=CC=CC=C1,44.9,1202.5,-5.26,40.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0108 (CAS 200108-8),O=CC=CC1=CC=CC=C1,74.2,358.2,-5.13,36.9,Non-Sensitizer
Benchmark_Compound_0109 (CAS 200109-9),O=CC=CC1=CC=CC=C1,29.4,814.6,-4.99,10.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0110 (CAS 200110-0),O=CC=CC1=CC=CC=C1,16.5,1321.3,-7.17,50.7,Non-Sensitizer
Benchmark_Compound_0111 (CAS 200111-1),O=CC=CC1=CC=CC=C1,34.6,979.8,-4.57,15.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0112 (CAS 200112-2),O=CC=CC1=CC=CC=C1,23.7,804.1,-8.0,28.4,Non-Sensitizer
Benchmark_Compound_0113 (CAS 200113-3),O=CC=CC1=CC=CC=C1,89.0,493.3,-7.4,34.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0114 (CAS 200114-4),O=CC=CC1=CC=CC=C1,78.7,506.2,-3.67,81.0,Non-Sensitizer
Benchmark_Compound_0115 (CAS 200115-5),O=CC=CC1=CC=CC=C1,63.8,1007.5,-4.44,87.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0116 (CAS 200116-6),O=CC=CC1=CC=CC=C1,84.1,1491.3,-8.42,33.4,Non-Sensitizer
Benchmark_Compound_0117 (CAS 200117-7),O=CC=CC1=CC=CC=C1,78.3,996.1,-7.13,85.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0118 (CAS 200118-8),O=CC=CC1=CC=CC=C1,25.9,841.1,-7.32,85.6,Non-Sensitizer
Benchmark_Compound_0119 (CAS 200119-9),O=CC=CC1=CC=CC=C1,85.9,1098.7,-7.01,76.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0120 (CAS 200120-0),O=CC=CC1=CC=CC=C1,55.8,703.2,-7.14,18.8,Non-Sensitizer
Benchmark_Compound_0121 (CAS 200121-1),O=CC=CC1=CC=CC=C1,78.6,99.6,-8.16,69.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0122 (CAS 200122-2),O=CC=CC1=CC=CC=C1,86.2,847.8,-5.98,93.8,Non-Sensitizer
Benchmark_Compound_0123 (CAS 200123-3),O=CC=CC1=CC=CC=C1,37.0,1436.9,-4.47,69.2,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0124 (CAS 200124-4),O=CC=CC1=CC=CC=C1,19.4,271.2,-5.16,36.2,Non-Sensitizer
Benchmark_Compound_0125 (CAS 200125-5),O=CC=CC1=CC=CC=C1,29.4,1038.1,-4.8,52.1,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0126 (CAS 200126-6),O=CC=CC1=CC=CC=C1,46.3,309.4,-8.05,65.7,Non-Sensitizer
Benchmark_Compound_0127 (CAS 200127-7),O=CC=CC1=CC=CC=C1,79.5,808.4,-3.27,53.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0128 (CAS 200128-8),O=CC=CC1=CC=CC=C1,83.2,154.0,-3.89,16.3,Non-Sensitizer
Benchmark_Compound_0129 (CAS 200129-9),O=CC=CC1=CC=CC=C1,10.6,681.1,-4.07,34.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0130 (CAS 200130-0),O=CC=CC1=CC=CC=C1,53.4,1136.7,-3.97,80.4,Non-Sensitizer
Benchmark_Compound_0131 (CAS 200131-1),O=CC=CC1=CC=CC=C1,45.5,527.9,-3.37,86.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0132 (CAS 200132-2),O=CC=CC1=CC=CC=C1,28.9,1000.7,-5.51,17.9,Non-Sensitizer
Benchmark_Compound_0133 (CAS 200133-3),O=CC=CC1=CC=CC=C1,20.2,1195.2,-7.4,94.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0134 (CAS 200134-4),O=CC=CC1=CC=CC=C1,38.7,1391.5,-5.11,35.9,Non-Sensitizer
Benchmark_Compound_0135 (CAS 200135-5),O=CC=CC1=CC=CC=C1,90.1,359.6,-4.41,67.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0136 (CAS 200136-6),O=CC=CC1=CC=CC=C1,37.5,605.0,-4.44,75.7,Non-Sensitizer
Benchmark_Compound_0137 (CAS 200137-7),O=CC=CC1=CC=CC=C1,54.1,237.1,-5.63,81.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0138 (CAS 200138-8),O=CC=CC1=CC=CC=C1,69.8,1488.8,-8.12,93.9,Non-Sensitizer
Benchmark_Compound_0139 (CAS 200139-9),O=CC=CC1=CC=CC=C1,40.9,1391.2,-6.46,34.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0140 (CAS 200140-0),O=CC=CC1=CC=CC=C1,92.6,814.5,-3.44,85.7,Non-Sensitizer
Benchmark_Compound_0141 (CAS 200141-1),O=CC=CC1=CC=CC=C1,91.8,1264.6,-5.29,17.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0142 (CAS 200142-2),O=CC=CC1=CC=CC=C1,31.4,786.2,-5.54,71.3,Non-Sensitizer
Benchmark_Compound_0143 (CAS 200143-3),O=CC=CC1=CC=CC=C1,52.3,939.1,-7.02,74.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0144 (CAS 200144-4),O=CC=CC1=CC=CC=C1,35.6,142.8,-6.47,68.7,Non-Sensitizer
Benchmark_Compound_0145 (CAS 200145-5),O=CC=CC1=CC=CC=C1,34.2,1135.4,-3.58,28.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0146 (CAS 200146-6),O=CC=CC1=CC=CC=C1,13.1,200.3,-4.83,87.1,Non-Sensitizer
Benchmark_Compound_0147 (CAS 200147-7),O=CC=CC1=CC=CC=C1,61.8,1240.8,-4.17,20.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0148 (CAS 200148-8),O=CC=CC1=CC=CC=C1,52.7,1175.2,-6.0,10.0,Non-Sensitizer
Benchmark_Compound_0149 (CAS 200149-9),O=CC=CC1=CC=CC=C1,14.4,1066.0,-5.03,72.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0150 (CAS 200150-0),O=CC=CC1=CC=CC=C1,33.7,63.9,-7.13,49.7,Non-Sensitizer
Benchmark_Compound_0151 (CAS 200151-1),O=CC=CC1=CC=CC=C1,87.2,461.7,-4.62,84.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0152 (CAS 200152-2),O=CC=CC1=CC=CC=C1,30.4,402.0,-6.15,41.0,Non-Sensitizer
Benchmark_Compound_0153 (CAS 200153-3),O=CC=CC1=CC=CC=C1,22.3,546.6,-6.07,20.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0154 (CAS 200154-4),O=CC=CC1=CC=CC=C1,51.6,140.6,-4.93,83.6,Non-Sensitizer
Benchmark_Compound_0155 (CAS 200155-5),O=CC=CC1=CC=CC=C1,93.8,1406.1,-3.35,56.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0156 (CAS 200156-6),O=CC=CC1=CC=CC=C1,30.6,835.2,-8.15,22.8,Non-Sensitizer
Benchmark_Compound_0157 (CAS 200157-7),O=CC=CC1=CC=CC=C1,67.1,465.2,-3.96,72.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0158 (CAS 200158-8),O=CC=CC1=CC=CC=C1,74.7,601.5,-6.89,53.0,Non-Sensitizer
Benchmark_Compound_0159 (CAS 200159-9),O=CC=CC1=CC=CC=C1,30.2,676.3,-6.06,61.8,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0160 (CAS 200160-0),O=CC=CC1=CC=CC=C1,71.9,904.9,-8.38,48.3,Non-Sensitizer
Benchmark_Compound_0161 (CAS 200161-1),O=CC=CC1=CC=CC=C1,41.3,778.4,-6.84,82.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0162 (CAS 200162-2),O=CC=CC1=CC=CC=C1,63.7,1379.9,-5.74,83.0,Non-Sensitizer
Benchmark_Compound_0163 (CAS 200163-3),O=CC=CC1=CC=CC=C1,63.9,750.5,-8.19,71.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0164 (CAS 200164-4),O=CC=CC1=CC=CC=C1,55.5,1488.3,-5.8,14.9,Non-Sensitizer
Benchmark_Compound_0165 (CAS 200165-5),O=CC=CC1=CC=CC=C1,17.7,1278.6,-3.4,83.9,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0166 (CAS 200166-6),O=CC=CC1=CC=CC=C1,81.0,320.7,-7.92,68.1,Non-Sensitizer
Benchmark_Compound_0167 (CAS 200167-7),O=CC=CC1=CC=CC=C1,37.3,1396.6,-4.3,70.5,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0168 (CAS 200168-8),O=CC=CC1=CC=CC=C1,25.9,183.4,-6.25,39.1,Non-Sensitizer
Benchmark_Compound_0169 (CAS 200169-9),O=CC=CC1=CC=CC=C1,13.5,1228.0,-4.9,87.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0170 (CAS 200170-0),O=CC=CC1=CC=CC=C1,60.2,577.1,-7.07,73.2,Non-Sensitizer
Benchmark_Compound_0171 (CAS 200171-1),O=CC=CC1=CC=CC=C1,67.6,1318.2,-7.62,15.6,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0172 (CAS 200172-2),O=CC=CC1=CC=CC=C1,11.4,1303.4,-7.62,43.3,Non-Sensitizer
Benchmark_Compound_0173 (CAS 200173-3),O=CC=CC1=CC=CC=C1,53.5,1210.8,-8.11,88.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0174 (CAS 200174-4),O=CC=CC1=CC=CC=C1,29.3,1187.1,-7.48,9.4,Non-Sensitizer
Benchmark_Compound_0175 (CAS 200175-5),O=CC=CC1=CC=CC=C1,64.8,464.0,-4.85,95.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0176 (CAS 200176-6),O=CC=CC1=CC=CC=C1,24.8,130.6,-3.65,68.8,Non-Sensitizer
Benchmark_Compound_0177 (CAS 200177-7),O=CC=CC1=CC=CC=C1,68.7,610.4,-4.02,64.3,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0178 (CAS 200178-8),O=CC=CC1=CC=CC=C1,42.9,268.6,-4.73,30.4,Non-Sensitizer
Benchmark_Compound_0179 (CAS 200179-9),O=CC=CC1=CC=CC=C1,89.6,1045.5,-7.89,28.4,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0180 (CAS 200180-0),O=CC=CC1=CC=CC=C1,21.7,525.7,-6.91,93.6,Non-Sensitizer
Benchmark_Compound_0181 (CAS 200181-1),O=CC=CC1=CC=CC=C1,39.0,1463.7,-6.8,33.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0182 (CAS 200182-2),O=CC=CC1=CC=CC=C1,19.6,965.0,-7.13,77.9,Non-Sensitizer
Benchmark_Compound_0183 (CAS 200183-3),O=CC=CC1=CC=CC=C1,88.6,1235.5,-5.67,42.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0184 (CAS 200184-4),O=CC=CC1=CC=CC=C1,84.6,207.5,-5.55,18.1,Non-Sensitizer
Benchmark_Compound_0185 (CAS 200185-5),O=CC=CC1=CC=CC=C1,31.9,1294.4,-6.54,6.0,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0186 (CAS 200186-6),O=CC=CC1=CC=CC=C1,66.1,1384.9,-6.55,56.2,Non-Sensitizer
Benchmark_Compound_0187 (CAS 200187-7),O=CC=CC1=CC=CC=C1,79.5,735.7,-3.94,96.7,Sensitizer (Cat. 1A/1B)
Benchmark_Compound_0188 (CAS 200188-8),O=CC=CC1=CC=CC=C1,57.2,913.3,-4.16,39.7,Non-Sensitizer
Benchmark_Compound_0189 (CAS 200189-9),O=CC=CC1=CC=CC=C1,55.0,1149.6,-6.81,38.6,Sensitizer (Cat. 1A/1B)
