Compound Name,CAS,Experimental Hazard,Predicted GHS,ED01 (ug/cm2),AD Status
Test_Substance_237,812-61-6,Non-Sensitizer (NC),Not Classified,1514.11,In-Domain
Test_Substance_238,508-67-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,41.16,In-Domain
Test_Substance_239,148-22-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,173.2,In-Domain
Test_Substance_240,849-11-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,39.84,In-Domain
Test_Substance_241,797-65-4,Moderate/Weak Sensitizer (1B),Sub-category 1B,173.04,In-Domain
Test_Substance_242,708-66-4,Non-Sensitizer (NC),Not Classified,1786.05,In-Domain
Test_Substance_243,576-43-2,Non-Sensitizer (NC),Not Classified,1114.06,In-Domain
Test_Substance_244,320-89-7,Strong/Extreme Sensitizer (1A),Sub-category 1A,32.76,In-Domain
Test_Substance_245,569-88-1,Strong/Extreme Sensitizer (1A),Sub-category 1A,10.58,In-Domain
Test_Substance_246,742-33-2,Non-Sensitizer (NC),Not Classified,1439.37,In-Domain
Test_Substance_247,504-26-3,Strong/Extreme Sensitizer (1A),Sub-category 1A,23.37,Out-of-Domain (Expert Review)
Test_Substance_248,880-95-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,140.32,In-Domain
Test_Substance_249,113-86-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,315.66,In-Domain
Test_Substance_250,415-47-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,4.09,In-Domain
Test_Substance_251,263-60-7,Non-Sensitizer (NC),Not Classified,1669.8,Out-of-Domain (Expert Review)
Test_Substance_252,512-89-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,5.59,In-Domain
Test_Substance_253,291-11-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,366.14,In-Domain
Test_Substance_254,165-35-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,17.86,Out-of-Domain (Expert Review)
Test_Substance_255,171-24-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,489.86,In-Domain
Test_Substance_256,366-76-5,Strong/Extreme Sensitizer (1A),Sub-category 1A,33.68,In-Domain
Test_Substance_257,602-85-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,327.51,In-Domain
Test_Substance_258,160-16-3,Non-Sensitizer (NC),Not Classified,1437.99,In-Domain
Test_Substance_259,564-50-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,318.9,In-Domain
Test_Substance_260,350-28-6,Strong/Extreme Sensitizer (1A),Sub-category 1A,12.73,In-Domain
Test_Substance_261,358-64-2,Moderate/Weak Sensitizer (1B),Sub-category 1B,384.95,In-Domain
Test_Substance_262,598-65-8,Strong/Extreme Sensitizer (1A),Sub-category 1A,1.53,In-Domain
Test_Substance_263,494-63-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,86.78,In-Domain
Test_Substance_264,73-29-4,Non-Sensitizer (NC),Not Classified,761.37,In-Domain
Test_Substance_265,201-59-0,Moderate/Weak Sensitizer (1B),Sub-category 1B,217.03,In-Domain
Test_Substance_266,561-75-1,Moderate/Weak Sensitizer (1B),Sub-category 1B,314.67,Out-of-Domain (Expert Review)
Test_Substance_267,235-21-2,Non-Sensitizer (NC),Not Classified,1482.55,In-Domain
Test_Substance_268,843-17-3,Moderate/Weak Sensitizer (1B),Sub-category 1B,334.24,In-Domain
Test_Substance_269,383-11-6,Non-Sensitizer (NC),Not Classified,769.61,In-Domain
Test_Substance_270,551-69-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,81.2,In-Domain
Test_Substance_271,194-98-8,Moderate/Weak Sensitizer (1B),Sub-category 1B,348.21,In-Domain
Test_Substance_272,498-49-7,Moderate/Weak Sensitizer (1B),Sub-category 1B,436.11,Out-of-Domain (Expert Review)
Test_Substance_273,59-76-5,Moderate/Weak Sensitizer (1B),Sub-category 1B,156.74,In-Domain
Test_Substance_274,410-10-4,Strong/Extreme Sensitizer (1A),Sub-category 1A,26.23,In-Domain
